state,district,year,gwq,sdp,gini
west bengal,24 paraganas north,2000,78.411766,247972.31111561856,0.38
west bengal,24 paraganas north,2002,98.555557,275199.53359278664,0.38
west bengal,24 paraganas north,2004,71.666664,310686.6999675226,0.38
west bengal,24 paraganas north,2005,54.861111,330248.80030542583,0.38
west bengal,24 paraganas north,2007,134.625,383881.49060919316,0.38
west bengal,24 paraganas north,2008,60.0,399354.5969692363,0.38
west bengal,24 paraganas north,2016,100.2,584911.0,0.38
west bengal,24 paraganas north,2017,78.07692,623787.0,0.38
west bengal,24 paraganas north,2018,75.126717,659288.0,0.38
west bengal,24 paraganas south,2000,189.64516,247972.31111561856,0.29
west bengal,24 paraganas south,2001,169.94737,265880.32837131777,0.29
west bengal,24 paraganas south,2002,226.64706,275199.53359278664,0.29
west bengal,24 paraganas south,2004,286.90909,310686.6999675226,0.29
west bengal,24 paraganas south,2005,213.74286,330248.80030542583,0.29
west bengal,24 paraganas south,2007,193.5,383881.49060919316,0.29
west bengal,24 paraganas south,2009,257.65714,430366.20743387047,0.29
west bengal,24 paraganas south,2010,296.625,456461.5424521131,0.29
west bengal,24 paraganas south,2011,352.92001,473205.0,0.29
west bengal,24 paraganas south,2012,263.30768,492901.0,0.29
west bengal,24 paraganas south,2013,177.96364,503952.0,0.29
west bengal,24 paraganas south,2016,255.11429,584911.0,0.29
west bengal,24 paraganas south,2017,276.57407,623787.0,0.29
west bengal,24 paraganas south,2018,293.66,659288.0,0.29
telangana,adilabad,2004,65.5,161790.06689829516,0.37
telangana,adilabad,2005,68.25,187774.5444577278,0.37
telangana,adilabad,2006,76.727272,208477.0974396334,0.37
telangana,adilabad,2007,80.5,229691.84931694498,0.37
telangana,adilabad,2008,164.58333,260994.69248203633,0.37
telangana,adilabad,2009,145.25,261701.24352747787,0.37
telangana,adilabad,2010,118.36364,307973.2512484278,0.37
telangana,adilabad,2011,141.72728,325139.0,0.37
telangana,adilabad,2012,55.666668,334205.0,0.37
telangana,adilabad,2013,96.63636,349593.0,0.37
telangana,adilabad,2014,102.72727,372897.0,0.37
telangana,adilabad,2015,124.66666,416892.0,0.37
telangana,adilabad,2016,145.375,455731.0,0.37
telangana,adilabad,2017,134.16667,498145.0,0.37
telangana,adilabad,2018,78.0,544441.0,0.37
uttar pradesh,agra,2000,799.5,351083.83971582167,0.26
uttar pradesh,agra,2000,799.5,351083.83971582167,0.26
uttar pradesh,agra,2002,263.25,369037.9006500751,0.26
uttar pradesh,agra,2002,263.25,369037.9006500751,0.26
uttar pradesh,agra,2004,598.40002,407921.1791392405,0.26
uttar pradesh,agra,2004,598.40002,407921.1791392405,0.26
uttar pradesh,agra,2005,297.0,431731.25103797467,0.26
uttar pradesh,agra,2005,297.0,431731.25103797467,0.26
uttar pradesh,agra,2016,202.93871,888453.0,0.26
uttar pradesh,agra,2016,202.93871,888453.0,0.26
uttar pradesh,agra,2018,220.233,949184.0,0.26
uttar pradesh,agra,2018,220.233,949184.0,0.26
gujarat,ahmadabad,2000,784.0,187486.06471907918,0.33
gujarat,ahmadabad,2001,868.09998,202722.52060396783,0.33
gujarat,ahmadabad,2002,1258.3077,220397.15650232672,0.33
gujarat,ahmadabad,2004,1417.1,272449.2629108957,0.33
gujarat,ahmadabad,2005,732.66669,311996.4362722108,0.33
gujarat,ahmadabad,2006,578.08331,338383.36050177214,0.33
gujarat,ahmadabad,2007,1115.5,378395.5156254638,0.33
gujarat,ahmadabad,2008,1135.3,394570.23835956375,0.33
gujarat,ahmadabad,2009,1090.7,450323.76586738543,0.33
gujarat,ahmadabad,2010,1359.4546,499605.5063968227,0.33
gujarat,ahmadabad,2011,1004.5333,532809.0,0.33
gujarat,ahmadabad,2012,1095.8889,596659.0,0.33
gujarat,ahmadabad,2013,985.83331,641489.0,0.33
gujarat,ahmadabad,2014,1050.9091,705629.0,0.33
gujarat,ahmadabad,2015,967.90002,774775.0,0.33
gujarat,ahmadabad,2016,587.40002,843930.0,0.33
gujarat,ahmadabad,2017,1041.7,946511.0,0.33
gujarat,ahmadabad,2018,465.375,1034399.0,0.33
maharashtra,ahmednagar,2000,171.44827,462182.04589375335,0.24
maharashtra,ahmednagar,2001,188.39999,478508.99779191246,0.24
maharashtra,ahmednagar,2002,173.89999,511507.57436596503,0.24
maharashtra,ahmednagar,2004,163.70589,599028.1154943785,0.24
maharashtra,ahmednagar,2005,228.27777,685815.41856348,0.24
maharashtra,ahmednagar,2006,186.42693,780279.5182740722,0.24
maharashtra,ahmednagar,2007,218.72707,871096.2491881064,0.24
maharashtra,ahmednagar,2008,233.78659,884779.143581586,0.24
maharashtra,ahmednagar,2009,214.52499,970264.8556553777,0.24
maharashtra,ahmednagar,2012,185.47826,1189711.0,0.24
maharashtra,ahmednagar,2013,248.16667,1267551.0,0.24
maharashtra,ahmednagar,2014,179.86667,1345341.0,0.24
maharashtra,ahmednagar,2015,140.47368,1452513.0,0.24
maharashtra,ahmednagar,2016,127.46667,1596121.0,0.24
maharashtra,ahmednagar,2017,134.20111,1661065.0,0.24
maharashtra,ahmednagar,2018,136.76103,1728578.0,0.24
rajasthan,ajmer,2000,896.89288,174261.4982756208,0.31
rajasthan,ajmer,2001,626.48389,194105.22164539358,0.31
rajasthan,ajmer,2002,698.40912,170786.6612538214,0.31
rajasthan,ajmer,2004,502.17242,219623.783673409,0.31
rajasthan,ajmer,2005,246.81818,234376.38095379015,0.31
rajasthan,ajmer,2006,325.66666,261962.91892931657,0.31
rajasthan,ajmer,2007,946.81818,273897.97681369574,0.31
rajasthan,ajmer,2008,508.0625,296931.6051077934,0.31
rajasthan,ajmer,2009,664.34485,314236.5616057293,0.31
rajasthan,ajmer,2010,375.45456,361436.6835150852,0.31
rajasthan,ajmer,2011,668.5,395331.0,0.31
rajasthan,ajmer,2012,604.88464,409802.0,0.31
rajasthan,ajmer,2013,802.0,434292.0,0.31
rajasthan,ajmer,2014,407.4762,465408.0,0.31
rajasthan,ajmer,2015,689.44446,501922.0,0.31
rajasthan,ajmer,2016,703.0,529650.0,0.31
rajasthan,ajmer,2017,674.5,557618.0,0.31
rajasthan,ajmer,2018,669.94739,568102.0,0.31
maharashtra,akola,2000,403.59091,462182.04589375335,0.25
